Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2025-06-28 13:28:25 -0400,charge,#42974,visa,stripe_terminal,paid,2025-07-01,2025-07-01,53.20,1.28,51.92,#35734626009181,card,53.20,USD,USD
2025-06-28 13:27:44 -0400,charge,#42973,visa,stripe_terminal,paid,2025-07-01,2025-07-01,23.17,0.56,22.61,#35734768320605,card,23.17,USD,USD
2025-06-28 13:26:00 -0400,charge,#42972,visa,stripe_terminal,paid,2025-07-01,2025-07-01,4.86,0.12,4.74,#35734761537629,card,4.86,USD,USD
2025-06-28 13:24:48 -0400,charge,#42971,master,stripe_terminal,paid,2025-07-01,2025-07-01,14.58,0.35,14.23,#35734753837149,card,14.58,USD,USD
2025-06-28 13:23:04 -0400,charge,#42970,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,31.60,0.76,30.84,#35734723330141,card,31.60,USD,USD
2025-06-28 13:21:35 -0400,charge,#42969,master,stripe_terminal,paid,2025-07-01,2025-07-01,77.32,1.86,75.46,#35734670475357,card,77.32,USD,USD
2025-06-28 13:19:56 -0400,charge,#42968,visa,stripe_terminal,paid,2025-07-01,2025-07-01,4.86,0.12,4.74,#35734710911069,card,4.86,USD,USD
2025-06-28 13:17:35 -0400,charge,#42967,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,62.64,1.50,61.14,#35734682763357,card,62.64,USD,USD
2025-06-28 13:14:23 -0400,charge,#42966,master,stripe_terminal,paid,2025-07-01,2025-07-01,37.78,0.91,36.87,#35734670540893,card,37.78,USD,USD
2025-06-28 13:13:21 -0400,charge,#42965,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,68.58,1.65,66.93,#35734648848477,card,68.58,USD,USD
2025-06-28 13:12:51 -0400,charge,#42964,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,21.60,0.52,21.08,#35734663233629,card,21.60,USD,USD
2025-06-28 13:11:26 -0400,charge,#42963,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,40.24,0.97,39.27,#35734580789341,card,40.24,USD,USD
2025-06-28 13:09:25 -0400,charge,#42962,master,stripe_terminal,paid,2025-07-01,2025-07-01,49.59,1.19,48.40,#35734556377181,card,49.59,USD,USD
2025-06-28 13:09:23 -0400,charge,#42961,visa,stripe_terminal,paid,2025-07-01,2025-07-01,31.59,0.76,30.83,#35734621651037,card,31.59,USD,USD
2025-06-28 13:05:31 -0400,charge,#42960,master,stripe_terminal,paid,2025-07-01,2025-07-01,15.43,0.37,15.06,#35734598942813,card,15.43,USD,USD
2025-06-28 13:04:52 -0400,charge,#42959,visa,stripe_terminal,paid,2025-07-01,2025-07-01,36.40,0.87,35.53,#35734507356253,card,36.40,USD,USD
2025-06-28 13:01:44 -0400,charge,#42958,visa,stripe_terminal,paid,2025-07-01,2025-07-01,50.02,1.20,48.82,#35734592225373,card,50.02,USD,USD
2025-06-28 12:59:42 -0400,charge,#42957,master,stripe_terminal,paid,2025-07-01,2025-07-01,31.65,0.76,30.89,#35734565847133,card,31.65,USD,USD
2025-06-28 12:57:55 -0400,charge,#42956,visa,stripe_terminal,paid,2025-07-01,2025-07-01,62.25,1.49,60.76,#35734476980317,card,62.25,USD,USD
2025-06-28 12:56:30 -0400,charge,#42955,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,133.99,3.22,130.77,#35734525608029,card,133.99,USD,USD
2025-06-28 12:52:28 -0400,charge,#42954,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,44.31,1.06,43.25,#35734518693981,card,44.31,USD,USD
2025-06-28 12:51:16 -0400,charge,#42953,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,113.41,2.72,110.69,#35734404071517,card,113.41,USD,USD
2025-06-28 12:49:41 -0400,charge,#42952,visa,stripe_terminal,paid,2025-07-01,2025-07-01,36.93,0.89,36.04,#35734496903261,card,36.93,USD,USD
2025-06-28 12:47:56 -0400,charge,#42951,master,stripe_terminal,paid,2025-07-01,2025-07-01,78.28,1.88,76.40,#35734454567005,card,78.28,USD,USD
2025-06-28 12:47:36 -0400,charge,#42950,master,stripe_terminal,paid,2025-07-01,2025-07-01,112.89,2.71,110.18,#35734477078621,card,112.89,USD,USD
2025-06-28 12:46:01 -0400,charge,#42949,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,259.55,6.23,253.32,#35734367338589,card,259.55,USD,USD
2025-06-28 12:44:23 -0400,charge,#42948,visa,stripe_terminal,paid,2025-07-01,2025-07-01,115.00,2.76,112.24,#35734044508253,card,115.00,USD,USD
2025-06-28 12:41:54 -0400,charge,#42947,master,stripe_terminal,paid,2025-07-01,2025-07-01,66.54,1.60,64.94,#35734383099997,card,66.54,USD,USD
2025-06-28 12:34:50 -0400,charge,#42946,master,stripe_terminal,paid,2025-07-01,2025-07-01,225.78,5.42,220.36,#35734372057181,card,225.78,USD,USD
2025-06-28 12:32:59 -0400,charge,#42945,master,stripe_terminal,paid,2025-07-01,2025-07-01,4.86,0.12,4.74,#35734375563357,card,4.86,USD,USD
2025-06-28 12:30:53 -0400,charge,#42944,master,stripe_terminal,paid,2025-07-01,2025-07-01,26.38,0.63,25.75,#35734361342045,card,26.38,USD,USD
2025-06-28 12:30:36 -0400,charge,#42943,visa,stripe_terminal,paid,2025-07-01,2025-07-01,465.56,11.17,454.39,#35734363078749,card,465.56,USD,USD
2025-06-28 12:29:01 -0400,charge,#42942,visa,stripe_terminal,paid,2025-07-01,2025-07-01,99.12,2.38,96.74,#35734353379421,card,99.12,USD,USD
2025-06-28 12:28:41 -0400,charge,#42941,visa,stripe_terminal,paid,2025-07-01,2025-07-01,5.35,0.13,5.22,#35734335324253,card,5.35,USD,USD
2025-06-28 12:28:01 -0400,charge,#42940,master,stripe_terminal,paid,2025-07-01,2025-07-01,135.57,3.25,132.32,#35734290268253,card,135.57,USD,USD
2025-06-28 12:25:41 -0400,charge,#42939,visa,stripe_terminal,paid,2025-07-01,2025-07-01,51.28,1.23,50.05,#35734326575197,card,51.28,USD,USD
2025-06-28 12:20:15 -0400,charge,#42938,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,62.12,1.49,60.63,#35734270967901,card,62.12,USD,USD
2025-06-28 12:13:41 -0400,charge,#42934,visa,stripe_terminal,paid,2025-07-01,2025-07-01,35.87,0.86,35.01,#35734118629469,card,35.87,USD,USD
2025-06-28 12:10:35 -0400,charge,#42933,visa,stripe_terminal,paid,2025-07-01,2025-07-01,8.82,0.21,8.61,#35734223945821,card,8.82,USD,USD
2025-06-28 12:09:04 -0400,charge,#42932,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,10.21,0.25,9.96,#35734216704093,card,10.21,USD,USD
2025-06-28 11:59:19 -0400,charge,#42928,visa,stripe_terminal,paid,2025-07-01,2025-07-01,32.22,0.77,31.45,#35734134685789,card,32.22,USD,USD
